#Clutter

// ------------------------------------------------
// Kava New - Goober
// ------------------------------------------------


//$Class Name:           "Mesh Test"
//$V3D Filename:         "meshtest.v3d"
//$Material:             "rock"
//$Life:                 -1
//$Flags:                ("collide_object")
//$RFE Level1:	       "Kava"

$Class Name:      "ExecChair4"
$V3D Filename:    "grf2officechair4.V3D"
$Debris Filename: "screen_debris.V3D"
$Debris Sound Set: "Metal Break"
$Material:        "metal"
$Life:                 90
$Damage Type Factor:   "bash"       0.0
$Damage Type Factor:   "bullet"     0.1
$Damage Type Factor:   "fire"       0.0
$Damage Type Factor:   "energy"     0.1
$Explode Anim:    "explosion 1"
$Flags:           ("collide_object")
$RFE Level1:	  "Kava"

$Class Name:           "Kelp01"
$V3D Filename:         "grf2plant1.V3D"
$Material:             "flesh"
$Life:                 -1
$Flags:                ("has_alpha")
$RFE Level1:           "Kava"

$Class Name:           "DeskLampKva1"
$V3D Filename:         "grf2offlamp1.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 50
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .5
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Kava"

$Class Name:           "DiskStorage1"
$V3D Filename:         "grf2diskgroup1.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .5
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Kava"

$Class Name:           "DiskStorage2"
$V3D Filename:         "grf2diskgroup2.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .5
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Kava"

$Class Name:           "DiskStorage3"
$V3D Filename:         "grf2diskgroup3.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .5
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Kava"

$Class Name:           "Keyboard01"
$V3D Filename:         "grf2keyboard1.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .5
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Kava"

$Class Name:           "Laptop01"
$V3D Filename:         "grf2laptop01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .5
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Kava"
$Skin:                 "1"        ("gls_grf2screena1.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "2"        ("gls_grf2screena2.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "3"        ("gls_grf2screena3.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "4"        ("gls_grf2screena4.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "5"        ("gls_grf2screena5.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "6"        ("gls_grf2screena6.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "7"        ("gls_grf2screena7.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "8"        ("gls_grf2screena8.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "9"        ("gls_grf2screena9.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "10"        ("gls_grf2screena10.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "11"        ("gls_grf2screena11.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "12"        ("gls_grf2screena12.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")

$Class Name:           "Laptop01a"
$V3D Filename:         "grf2laptop01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .5
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Kava"
$Skin:                 "7"        ("gls_grf2screena7.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "8"        ("gls_grf2screena8.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "9"        ("gls_grf2screena9.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "10"        ("gls_grf2screena10.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "11"        ("gls_grf2screena11.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "12"        ("gls_grf2screena12.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")

$Class Name:           "Laptop01b"
$V3D Filename:         "grf2laptop01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .5
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Kava"
$Skin:                 "13"        ("gls_grf2screena13.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "14"        ("gls_grf2screena14.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "15"        ("gls_grf2screena15.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "16"        ("gls_grf2screena16.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "17"        ("gls_grf2screena17.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")
$Skin:                 "18"        ("gls_grf2screena18.tga" "pls_grf2comppart1.tga" "pls_grf2comppart2.tga" "pls_grf2comppart3.tga" "pls_grf2keyboard2.tga")

$Class Name:           "Laptop02"
$V3D Filename:         "grf2laptop02.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .5
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Kava"

$Class Name:           "SmokeDetector"
$V3D Filename:         "grf2smokedet1.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .5
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Kava"

$Class Name:           "Telephone01"
$V3D Filename:         "grf2telephone01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .5
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Kava"

// ------------------------------------------------
// Furniture
// ------------------------------------------------

$Class Name:            "Com_Chair01"
$V3D Filename:				"Com_Chair01.V3D"
$Debris Filename:			"genericlight01_debris.V3D"
$Debris Sound Set:		"small debris bounce"
$Corpse Class Name:		"Com_Chair01_Corpse"
$Material:					"metal"
$Life:						160
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"armor piercing bullet"		0.0
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$Explode Anim:         "Grate Break"
$Explode Anim Radius:  .4
$Flags:						("collide_object")
$Debris Velocity:      3.7
$RFE Level1:			   "Furniture"

$Class Name:           "Com_Chair01_Corpse"
$V3D Filename:         "Com_Chair01_Corpse.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Furniture"

$Class Name:				"counter"
$V3D Filename:				"counter1.v3d"
$Debris Filename:			"genericlight01_debris.V3D"
$Debris Sound Set:		"small debris bounce"
$Corpse Class Name:		"counter_corpse"
$Material:					"metal"
$Life:						200
$Flags:						("collide_object")
$Debris Velocity:			3.7
$RFE Level1:				"Furniture"

$Class Name:      "counter_corpse"
$V3D Filename:    "counter_corpse.v3d"
$Material:        "metal"
$Life:           -1
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "coffeesmokedtbl_corpse"
$V3D Filename:    "coffeesmokedtbl_corpse.V3D"
$Material:        "rock"
$Life:           -1
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:			"coffeetable1"
$V3D Filename:			"coffeesmokedtbl.V3D"
$Debris Filename:		"coffeesmoketbl_debris.V3D"
$Debris Sound Set:		"Wood Break"
$Corpse Class Name:		"coffeesmokedtbl_corpse"
$Material:				"glass"
$Life:					-1
$Damage Type Factor:		"fire"						0.0
$Damage Type Factor:		"energy"					0.0
$Explode Anim:			"glassboom"
$Explode Anim Radius:	12
$Flags:					("collide_object")
$Debris Velocity:		1.5
$RFE Level1:			"Furniture"

$Class Name:      "coffeetable1Alt"
$V3D Filename:    "coffeesmokedtblAlt.V3D"
$Debris Filename:		"coffeesmoketbl_debris.V3D"
$Debris Sound Set:		"Wood Break"
$Corpse Class Name:		"coffeesmokedtbl_corpse"
$Material:				"glass"
$Life:					-1
$Damage Type Factor:		"fire"						0.0
$Damage Type Factor:		"energy"					0.0
$Explode Anim:			"glassboom"
$Explode Anim Radius:	12
$Flags:					("collide_object")
$Debris Velocity:		1.5
$RFE Level1:			"Furniture"

$Class Name:      "coffeetable2"
$V3D Filename:    "coffeesmokedtbl2.V3D"
$Debris Filename:		"coffeesmoketbl_debris.V3D"
$Debris Sound Set:		"Wood Break"
$Corpse Class Name:		"coffeesmokedtbl_corpse"
$Material:				"glass"
$Life:					-1
$Damage Type Factor:		"fire"						0.0
$Damage Type Factor:		"energy"					0.0
$Explode Anim:			"glassboom"
$Explode Anim Radius:	12
$Flags:					("collide_object")
$Debris Velocity:		1.5
$RFE Level1:			"Furniture"

$Class Name:      "bench01"
$V3D Filename:    "bench.V3D"
$Debris Filename: "bench_debris.v3d"
$Debris Sound Set: "Wood Break"
$Material:        "metal"
$Life:            40
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"armor piercing bullet"		0.0
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "bench01ALT"
$V3D Filename:    "benchALT.V3D"
$Debris Filename: "bench_debris.v3d"
$Debris Sound Set: "Wood Break"
$Material:        "metal"
$Life:            40
$Damage Type Factor:		"bash"						0.0
$Damage Type Factor:		"bullet"					0.0
$Damage Type Factor:		"armor piercing bullet"		0.0
$Damage Type Factor:		"fire"						0.0
$Damage Type Factor:		"energy"					0.0
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "Medical Bed"
$V3D Filename:    "medbed1.V3D"
$Debris Filename: "bench_debris.v3d"
$Debris Sound Set: "Wood Break"
$Material:        "metal"
$Life:                 -1
$Damage Type Factor:		"bash"						0.0
$Damage Type Factor:		"bullet"					0.0
$Damage Type Factor:		"armor piercing bullet"		0.0
$Damage Type Factor:		"fire"						0.0
$Damage Type Factor:		"energy"					0.0
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .4
$Flags:           ("collide_object")
$Debris Velocity:      2
$RFE Level1:	  "Furniture"

$Class Name:      "officetable1"
$V3D Filename:    "cubetable1.V3D"
$Debris Filename: "bench_debris.v3d"
$Debris Sound Set: "Wood Break"
$Material:        "metal"
$Life:            -1
$Damage Type Factor:		"bash"						0.0
$Damage Type Factor:		"bullet"					0.0
$Damage Type Factor:		"fire"						0.0
$Damage Type Factor:		"energy"					0.0
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "Cafeteria Table"
$V3D Filename:    "cafetable1.V3D"
$Debris Filename: "bench_debris.v3d"
$Debris Sound Set:  "Wood Break"
$Material:        "metal"
$Life:            -1
$Damage Type Factor:		"bash"						0.0
$Damage Type Factor:		"bullet"					0.0
$Damage Type Factor:		"fire"						0.0
$Damage Type Factor:		"energy"					0.0
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "Cafeteria Table ALT"
$V3D Filename:    "cafetable1ALT.V3D"
$Debris Filename: "bench_debris.v3d"
$Debris Sound Set: "Wood Break"
$Material:        "metal"
$Life:            -1
$Damage Type Factor:		"bash"						0.0
$Damage Type Factor:		"bullet"					0.0
$Damage Type Factor:		"armor piercing bullet"		0.0
$Damage Type Factor:		"fire"						0.0
$Damage Type Factor:		"energy"					0.0
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "Cafeteria Chair"
$V3D Filename:    "cafechair1.V3D"
$Debris Filename: "screen_debris.V3D"
$Debris Sound Set: "Wood Break"
$Material:        "metal"
$Life:                 90
$Damage Type Factor:   "bash"       0.0
$Damage Type Factor:   "bullet"     0.0
$Damage Type Factor:   "fire"       0.0
$Damage Type Factor:   "energy"     0.0
$Explode Anim:    "explosion 1"
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "offchair"
$V3D Filename:    "offchair01.V3D"
$Debris Filename: "screen_debris.V3D"
$Debris Sound Set: "Wood Break"
$Material:        "metal"
$Life:                 -1
$Damage Type Factor:   "bash"       0.0
$Damage Type Factor:   "bullet"     0.0
$Damage Type Factor:   "fire"       0.0
$Damage Type Factor:   "energy"     0.0
$Explode Anim:    "explosion 1"
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "comfychair"
$V3D Filename:    "comfychair1.V3D"
$Debris Filename: "screen_debris.V3D"
$Debris Sound Set: "Wood Break"
$Material:        "metal"
$Life:            -1
$Damage Type Factor:   "bash"       0.0
$Damage Type Factor:   "bullet"     0.0
$Damage Type Factor:   "fire"       0.0
$Damage Type Factor:   "energy"     0.0
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "comfychair2"
$V3D Filename:    "comfychair2.V3D"
$Debris Filename: "screen_debris.V3D"
$Debris Sound Set: "Wood Break"
$Material:        "metal"
$Life:            -1
$Damage Type Factor:   "bash"       0.0
$Damage Type Factor:   "bullet"     0.0
$Damage Type Factor:   "fire"       0.0
$Damage Type Factor:   "energy"     0.0
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "Guard Chair"
$V3D Filename:    "guardchair01.V3D"
$Debris Filename: "screen_debris.V3D"
$Debris Sound Set: "Wood Break"
$Material:        "metal"
$Life:            80
$Damage Type Factor:		"bash"					0.0
$Damage Type Factor:		"bullet"				0.0
$Damage Type Factor:		"fire"					0.0
$Damage Type Factor:		"energy"				0.0
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "swivchair"
$V3D Filename:    "swilchair01.V3D"
$Debris Filename: "screen_debris.V3D"
$Debris Sound Set: "Wood Break"
$Material:        "metal"
$Life:                 -1
$Damage Type Factor:   "bash"       0.0
$Damage Type Factor:   "bullet"     0.0
$Damage Type Factor:   "fire"       0.0
$Damage Type Factor:   "energy"     0.0
$Explode Anim:    "explosion 1"
$Flags:           ("collide_object")
$Debris Velocity:      1
$RFE Level1:	  "Furniture"

$Class Name:				"offbookcase"
$V3D Filename:				 "bookcase1.V3D"
$Debris Filename:			"genericlight01_debris.V3D"
$Debris Sound Set:		"Wood Break"
$Material:					"wood"
$Life:						 180
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$Use Sound:             "Use Book"
$Flags:						("collide_object")
$Debris Velocity:       3
$Use:						   "play_sound"
	+radius:					3.0
$RFE Level1:				"Furniture"

$Class Name:				"file cabinet1"
$V3D Filename:				"filecabinet1.V3D"
$Debris Filename:			"genericlight01_debris.V3D"
$Debris Sound Set:		"Wood Break"
$Material:					"wood"
$Life:						200
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$Flags:						("collide_object")
$Debris Velocity:			2
$RFE Level1:				"Furniture"

$Class Name:      "file cabinet2"
$V3D Filename:    "filecabinet2.V3D"
$Debris Filename: "screen_debris.V3D"
$Debris Sound Set: "Wood Break"
$Material:        "wood"
$Life:            180
$Damage Type Factor:		"bash"							0.0
$Damage Type Factor:		"bullet"							0.0
$Damage Type Factor:		"fire"							0.0
$Damage Type Factor:		"energy"							0.0
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:				"offtable"
$V3D Filename:				"officetable.V3D"
$Corpse Class Name:		"tablecorpse"
$Material:					"wood"
$Life:						 -1
$Damage Type Factor:		"bash"		0.0
$Damage Type Factor:		"bullet"	0.0
$Damage Type Factor:		"fire"		0.0
$Explode Damage:			20
$Flags:						("collide_object")
$RFE Level1:				"Furniture"

$Class Name:       "tablecorpse"
$V3D Filename:     "offtable_corpse.V3D"
$Debris Sound Set: "Metal Break"
$Material:         "metal"
$Life:             -1
$Flags:            ("collide_object")
$RFE Level1:	   "Furniture"

$Class Name:      "Medical Lockers"
$V3D Filename:    "Medlockers1.V3D"
$Debris Sound Set: "Metal Break"
$Material:        "metal"
$Life:            -1
$Flags:           ("collide_object")
$RFE Level1:	   "Furniture"

$Class Name:      "Toilet"
$V3D Filename:    "toilet1.V3D"
$Debris Filename: "toilet_debris.v3d"
$Debris Sound Set: "solid clatter"
$Material:        "solid"
$Life:            185
$Use Sound:       "Use Toilet"
$Flags:           ("collide_weapon")
$Use:             "play_sound"
	+radius:       2.0
$Debris Velocity:      1
$RFE Level1:	   "Furniture"

$Class Name:      "Urinal"
$V3D Filename:    "toilet2.V3D"
$Debris Filename: "toilet_debris.v3d"
$Debris Sound Set: "solid clatter"
$Material:        "solid"
$Life:            185
$Use Sound:       "Use Urinal"
$Flags:           ("collide_weapon")
$Use:             "play_sound"
	+radius:       2.0
$Debris Velocity:      1
$RFE Level1:	   "Furniture"

$Class Name:      "Urinal2"
$V3D Filename:    "toilet4.V3D"
$Debris Filename: "toilet_debris.v3d"
$Debris Sound Set: "solid clatter"
$Material:        "solid"
$Life:            185
$Use Sound:       "Use Urinal"
$Flags:           ("collide_weapon")
$Use:             "play_sound"
	+radius:       2.0
$Debris Velocity:      1
$RFE Level1:	   "Furniture"

$Class Name:      "Toilet2"
$V3D Filename:    "toilet3.V3D"
$Debris Filename: "toilet_debrisB.v3d"
$Debris Sound Set: "solid clatter"
$Material:        "solid"
$Life:            185
$Use Sound:       "Use Toilet"
$Flags:           ("collide_weapon")
$Use:             "play_sound"
	+radius:       2.0
$Debris Velocity:      1
$RFE Level1:	   "Furniture"

$Class Name:      "posh_chair"
$V3D Filename:    "poshchair.V3D"
$Debris Filename: "screen_debris.V3D"
$Debris Sound Set: "Metal Break"
$Material:        "metal"
$Life:                 90
$Damage Type Factor:   "bash"       0.0
$Damage Type Factor:   "bullet"     0.0
$Damage Type Factor:   "fire"       0.0
$Damage Type Factor:   "energy"     0.0
$Explode Anim:    "explosion 1"
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "sofa2"
$V3D Filename:    "sofa2.V3D"
$Material:        "metal"
$Life:            -1
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "sofa3"
$V3D Filename:    "sofa1.V3D"
$Material:        "metal"
$Life:            -1
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "sofa3ALT"
$V3D Filename:    "sofa1ALT.V3D"
$Material:        "metal"
$Life:            -1
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "Endtable"
$V3D Filename:    "endtable1.V3D"
$Material:        "wood"
$Life:            -1
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "posh_desk"
$V3D Filename:    "poshdesk.V3D"
$Material:        "metal"
$Life:            -1
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"

$Class Name:      "Food Trough"
$V3D Filename:    "trough1.V3D"
$Material:        "metal"
$Life:            -1
$Flags:           ("collide_object")
$RFE Level1:	  "Furniture"


// ------------------------------------------------
// Lights
// ------------------------------------------------

$Class Name:           "chinese_lamp"
$V3D Filename:         "ChineseLamp01.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Material:             "glass"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Flags:                ("collide_weapon")
$Debris Velocity:      3
$RFE Level1:	       "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          .32
$Light Algo:           "linear"
$Light Color:          {248,252,184,255}
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.08

$Class Name:           "lantern_ball"
$V3D Filename:         "lanternball.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Material:             "glass"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Flags:                ("collide_weapon")
$Debris Velocity:      3
$RFE Level1:	       "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          .32
$Light Algo:           "linear"
$Light Color:          {248,252,184,255}
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.08
$Skin:                 "blue"        ("lantern01_blu.tga")
$Skin:                 "red"         ("lantern01_red.tga")

$Class Name:           "lantern_box"
$V3D Filename:         "lanternbox.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Material:             "glass"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .2
$Flags:                ("collide_weapon")
$Debris Velocity:      3
$RFE Level1:	       "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          .32
$Light Algo:           "linear"
$Light Color:          {248,252,184,255}
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.08
$Skin:                 "blue"        ("lantern02_blu.tga")
$Skin:                 "red"         ("lantern02_red.tga")

$Class Name:           "Dbl Fluorescent"
$V3D Filename:         "doubleflour1.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Material:             "glass"
$Life:                 230
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .8
$Flags:                ("collide_weapon")
$Debris Velocity:      3
$RFE Level1:	       "Lights"

$Class Name:           "glowstick"
$V3D Filename:         "glowstick.V3D"
$Material:             "metal"
$Life:                 20
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:				   "glowstickglare"
$Flags:                ("collide_object")
$Debris Velocity:      3
$RFE Level1:	       "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          3
$Light Algo:           "linear"
$Light Color:          {252,176,101,255}
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.08
$Skin:                 "clean"         ("mtl_archway04.tga" "LightVolume_Grad01.tga")
$Skin:                 "dirty"         ("dblflour2ndskin.tga" "LightVolume_Grad01.tga")


$Class Name:           "spot1"
$V3D Filename:         "spotlight01.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .2
$Glare:				   "barndoorglare2"
$Flags:                ("collide_weapon")
$Debris Velocity:      3
$RFE Level1:	       "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          .32
$Light Algo:           "linear"
$Light Color:          {248,252,184,255}
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.08

$Class Name:           "Mine Light 1"
$V3D Filename:         "MineLight01.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 20
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					"TestGlare01a"
$Flags:                ("collide_weapon")
$Debris Velocity:      3
$RFE Level1:	        "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          .32
$Light Algo:           "linear"
$Light Color:          {248,252,184,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.08

$Class Name:           "Mine Light 1blue"
$V3D Filename:         "MineLight01.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 20
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					"TestGlare01b"
$Flags:                ("collide_weapon")
$Debris Velocity:      3
$RFE Level1:	        "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          .32
$Light Algo:           "linear"
$Light Color:          {248,252,184,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.08
$Skin:                 "Amber"         ("MineLight01.tga")
$Skin:                 "Blue"          ("MineLight01Blue.tga")

$Class Name:           "Mine Light 1 no glare"
$V3D Filename:         "MineLight01.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 20
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					  "WarmWedge01_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Omnidirectional"
$Light Range:          2
